time_steps,reward ep.,length
5120,-0.86,12.4
10240,0.67,17.0
15360,-0.41,10.0
20480,-0.41999999999999993,14.4
25600,-0.76,9.4
30720,0.2799999999999999,14.4
35840,-0.7899999999999999,11.2
40960,-0.5599999999999999,9.4
46080,0.48999999999999994,13.4
51200,0.09,11.6
56320,-0.25999999999999995,13.0
61440,0.29999999999999993,13.8
66560,-0.25999999999999995,14.6
71680,0.16999999999999998,16.4
76800,-0.5199999999999999,10.8
81920,-0.11000000000000003,10.8
87040,0.5700000000000001,12.4
92160,-0.11000000000000001,9.4
97280,0.38,11.8
102400,-0.74,8.4
107520,-0.59,9.6
112640,0.39,10.6
117760,-0.43,14.6
122880,-0.48,10.6
128000,-0.6,7.6
133120,0.010000000000000009,13.0
138240,-0.51,8.8
143360,0.4699999999999999,11.2
148480,-0.78,10.6
153600,-0.54,12.2
158720,-0.43000000000000005,10.8
163840,0.12000000000000002,11.8
168960,-0.7,11.0
174080,0.6799999999999999,16.8
179200,-0.58,14.6
184320,0.05999999999999996,11.4
189440,0.33999999999999997,8.6
194560,-0.13000000000000003,10.6
199680,-0.72,9.6
204800,-0.12999999999999998,14.8
209920,-0.11000000000000001,14.4
215040,0.5700000000000001,16.6
220160,0.10000000000000002,14.4
225280,0.45,14.0
230400,-0.076,7.8
235520,-0.82,9.6
240640,-0.35000000000000003,10.8
245760,-0.49000000000000005,6.8
250880,0.6900000000000001,15.2
256000,0.26999999999999996,16.8
261120,-0.039999999999999994,13.2
266240,-0.74,9.0
271360,-0.41,12.0
276480,-0.4700000000000001,15.4
281600,-0.5,10.2
286720,-0.82,11.2
291840,-0.4600000000000001,13.2
296960,-0.35,11.8
302080,-0.2899999999999999,13.2
307200,-0.06999999999999998,10.2
312320,0.252,11.2
317440,-0.42800000000000005,10.6
322560,-0.018000000000000016,14.2
327680,0.27999999999999997,14.4
332800,0.4999999999999999,8.8
337920,-0.29000000000000004,12.8
343040,0.6,19.0
348160,-0.20999999999999996,7.8
353280,0.64,12.8
358400,-0.12000000000000002,14.2
363520,-0.5700000000000001,10.6
368640,-0.27999999999999997,8.4
373760,0.05999999999999996,10.8
378880,-0.1,13.6
384000,0.07999999999999999,8.2
389120,0.74,16.4
394240,-0.53,9.6
399360,-0.58,9.2
404480,0.3,12.0
409600,0.15999999999999998,11.8
414720,0.20999999999999996,13.8
419840,-0.51,11.4
424960,0.99,18.2
430080,-0.25,13.6
435200,0.29999999999999993,12.4
440320,-0.08000000000000008,17.0
445440,0.19000000000000003,11.8
450560,-0.54,8.0
455680,-0.5599999999999999,11.4
460800,-0.010000000000000054,15.6
465920,-0.6599999999999999,9.0
471040,-0.8400000000000001,7.6
476160,-0.4,9.0
481280,-0.18,8.4
486400,-0.15999999999999998,7.4
491520,-0.76,10.4
496640,-0.39000000000000007,14.0
