time_steps,reward ep.,length
5120,-1.64,102.2
10240,-0.9800000000000001,72.0
15360,-0.16000000000000003,81.0
20480,-0.54,82.2
25600,-0.7799999999999999,76.2
30720,-0.68,115.6
35840,-0.82,87.4
40960,-0.74,101.6
46080,-0.3,117.8
51200,-0.4400000000000001,76.6
56320,-1.02,124.4
61440,-1.2,95.4
66560,-1.24,83.8
71680,-1.1199999999999999,76.8
76800,-0.74,93.2
81920,-0.4,96.8
87040,0.26000000000000006,106.4
92160,-0.9400000000000001,101.6
97280,-0.58,96.8
102400,-0.8000000000000002,80.0
107520,-0.6,84.8
112640,-1.2000000000000002,75.2
117760,-0.6200000000000002,72.0
122880,-0.06000000000000001,96.2
128000,-0.9,79.4
133120,-1.02,110.4
138240,-1.4599999999999997,63.2
143360,-1.98,99.2
148480,-1.2400000000000002,84.8
153600,-0.45999999999999996,85.2
158720,-0.22000000000000003,92.2
163840,-0.14000000000000007,112.6
168960,-0.6600000000000004,94.6
174080,-0.19999999999999996,96.4
179200,-1.3199999999999998,102.6
184320,-0.6800000000000002,83.6
189440,-0.74,102.0
194560,-1.1199999999999999,118.0
199680,-0.38,94.0
204800,-1.2600000000000002,84.4
209920,-0.9800000000000001,94.4
215040,-0.48,125.2
220160,-0.8600000000000001,98.0
225280,-1.9000000000000004,96.4
230400,-0.8800000000000001,85.2
235520,-0.6,130.4
240640,-1.5799999999999996,82.8
245760,-1.16,114.8
250880,-1.04,72.8
256000,-0.5800000000000001,106.0
261120,-0.8200000000000001,72.6
266240,-0.45999999999999996,89.4
271360,-1.02,85.6
276480,-1.3400000000000003,92.0
281600,-0.66,104.8
286720,-0.4,115.2
291840,-0.8800000000000001,98.4
296960,-0.6799999999999999,76.2
302080,-1.1600000000000001,121.4
307200,-1.28,80.0
312320,-1.3,100.4
317440,-1.46,94.0
322560,-0.5199999999999999,107.8
327680,-0.4,82.6
332800,-0.36000000000000004,91.4
337920,-0.5799999999999998,78.4
343040,-1.0799999999999998,86.0
348160,-0.2800000000000001,67.6
353280,-0.72,98.8
358400,-1.2800000000000002,87.8
363520,-0.8799999999999999,95.6
368640,-0.15999999999999998,68.4
373760,-1.6200000000000003,101.6
378880,-0.9400000000000001,88.4
384000,-0.78,108.0
389120,-0.8,101.6
394240,-0.12000000000000002,83.4
399360,-0.68,88.0
404480,-0.8000000000000002,75.2
409600,-0.019999999999999997,89.8
414720,-0.48,87.2
419840,-0.64,105.6
424960,-1.16,93.6
430080,-0.9199999999999999,116.4
435200,-1.38,87.2
440320,-1.6800000000000002,68.0
445440,-0.86,98.4
450560,0.08000000000000004,91.8
455680,-1.02,97.4
460800,-0.9400000000000001,92.4
465920,-0.6399999999999999,87.2
471040,-0.6399999999999999,82.4
476160,-0.22000000000000003,128.8
481280,-1.08,76.4
486400,-0.22000000000000003,92.2
491520,-1.0,93.0
496640,-1.0,79.2
501760,-0.9199999999999999,76.4
506880,-0.36000000000000004,87.2
512000,-1.2000000000000002,88.8
517120,-0.5199999999999999,117.6
522240,-0.52,92.8
527360,-0.5800000000000001,89.2
532480,0.08,67.4
537600,-0.020000000000000018,83.2
542720,-0.78,73.2
547840,-1.1400000000000001,77.4
552960,-0.66,102.0
558080,-1.3,130.4
563200,-0.27999999999999997,91.8
568320,0.18,73.4
573440,-1.0,84.8
578560,0.4600000000000001,81.4
583680,-1.2200000000000002,80.2
588800,-0.68,111.2
593920,-0.6799999999999999,110.8
599040,-0.23999999999999994,100.4
604160,0.16000000000000003,98.2
609280,-0.31999999999999995,100.4
614400,-0.66,80.6
619520,-1.98,96.8
624640,-1.16,70.0
629760,-0.32,95.4
634880,-0.42000000000000004,67.0
640000,-0.040000000000000015,116.8
645120,-0.8400000000000001,99.6
650240,-1.02,101.2
655360,-0.42000000000000004,90.0
660480,-0.76,114.8
665600,-0.15999999999999998,77.6
670720,-0.8800000000000001,100.0
675840,-0.9800000000000001,84.4
680960,-1.0400000000000003,92.8
686080,-0.8,85.6
691200,-1.1,69.6
696320,-0.19999999999999998,70.8
701440,-0.19999999999999998,77.0
706560,-0.039999999999999994,120.2
711680,-0.45999999999999996,60.6
716800,-0.9800000000000001,92.6
721920,-0.56,63.6
727040,-0.24,106.4
732160,0.18000000000000005,94.6
737280,-0.24,92.0
742400,-0.8200000000000001,71.8
747520,-0.060000000000000095,92.6
752640,-0.74,93.4
757760,-0.62,106.8
762880,-0.9799999999999999,83.6
768000,-1.5,75.2
773120,-1.8399999999999999,67.6
778240,0.019999999999999973,119.6
783360,-1.22,89.2
788480,-0.62,90.0
793600,-0.8999999999999998,80.0
798720,-1.4600000000000004,108.8
803840,-0.9400000000000002,116.6
808960,-0.8,67.4
814080,-0.07999999999999999,73.2
819200,-0.74,90.8
824320,-1.1400000000000001,58.4
829440,-0.18,102.0
834560,-0.08,108.8
839680,-1.1800000000000002,80.8
844800,-0.33999999999999997,83.0
849920,-0.06000000000000001,117.8
855040,-0.78,116.8
860160,-0.41999999999999993,91.8
865280,-0.26,109.0
870400,-0.10000000000000005,82.2
875520,0.5000000000000001,101.0
880640,-0.62,72.8
885760,-0.18,77.6
890880,-0.27999999999999997,79.6
896000,-0.34,108.0
901120,-0.64,65.2
906240,0.22000000000000003,95.6
911360,-0.06000000000000001,126.0
916480,-1.48,71.4
921600,-1.52,93.4
926720,-0.5599999999999999,88.8
931840,-0.64,83.2
936960,-0.9000000000000001,108.0
942080,-0.5199999999999999,106.2
947200,-0.78,93.0
952320,-0.05999999999999996,130.8
957440,-0.36,106.0
962560,-0.7399999999999999,82.4
967680,-0.72,57.2
972800,-0.31999999999999995,109.0
977920,-1.1800000000000002,86.2
983040,-0.5,85.8
988160,-0.21999999999999997,85.4
993280,-0.040000000000000015,116.2
998400,-1.1800000000000002,68.6
1003520,-0.8,97.6
1008640,-0.9800000000000001,73.6
1013760,-0.8,91.6
1018880,-0.42000000000000004,94.8
1024000,0.13999999999999996,105.6
1029120,-0.27999999999999997,106.0
1034240,-0.27999999999999997,102.0
1039360,-0.9400000000000001,91.6
1044480,-0.18000000000000002,64.2
1049600,0.27999999999999997,103.2
1054720,-2.2204460492503132e-17,66.2
1059840,-1.28,72.8
1064960,-0.74,76.0
1070080,-0.6799999999999999,86.0
1075200,-1.02,126.0
1080320,0.2800000000000001,114.0
1085440,-0.52,79.8
1090560,-0.9600000000000002,76.6
1095680,-0.6199999999999999,56.6
1100800,-0.5399999999999999,96.2
1105920,-0.24000000000000007,71.0
1111040,-0.52,77.0
1116160,-0.32,94.4
1121280,-0.22000000000000003,110.8
1126400,-0.28,100.2
1131520,-0.22000000000000003,79.0
1136640,-0.6799999999999999,86.0
1141760,-0.7999999999999999,71.4
1146880,-1.2200000000000002,106.6
1152000,-0.54,100.0
1157120,-0.86,60.8
1162240,-0.82,101.2
1167360,-0.18000000000000002,108.4
1172480,-0.32000000000000006,102.4
1177600,0.019999999999999928,98.2
1182720,-0.1,108.6
1187840,-0.78,72.8
1192960,-0.74,82.8
1198080,0.24,66.2
1203200,-0.5000000000000001,101.8
1208320,-2.2,76.4
1213440,-0.8800000000000001,78.8
1218560,-0.13999999999999996,96.2
1223680,-0.48,88.2
1228800,-1.1400000000000001,78.4
1233920,-0.8800000000000002,92.6
1239040,-0.86,96.2
1244160,-0.36,127.2
1249280,-0.42000000000000004,101.6
1254400,0.32,111.2
1259520,-0.5599999999999999,94.4
1264640,-0.2799999999999999,82.2
1269760,-0.9199999999999999,94.2
1274880,0.72,96.0
1280000,-0.039999999999999994,84.2
1285120,-2.2204460492503132e-17,113.0
1290240,-0.54,77.6
1295360,-0.52,91.6
1300480,-0.36,103.2
1305600,-0.6599999999999999,81.2
1310720,-0.7799999999999999,110.6
1315840,-0.42000000000000004,65.4
1320960,-0.9800000000000001,89.2
1326080,-0.8400000000000001,88.4
1331200,-0.44000000000000006,91.2
1336320,-0.6599999999999999,90.4
1341440,-0.6,102.4
1346560,-1.26,114.4
1351680,-0.6,97.2
1356800,0.10000000000000005,98.4
1361920,-0.64,111.6
1367040,-0.20000000000000004,93.0
1372160,-0.6199999999999999,104.6
1377280,-0.13999999999999999,61.8
1382400,-0.36,90.4
1387520,0.18000000000000002,100.4
1392640,-0.6,69.0
1397760,-0.6,72.4
1402880,-0.8,82.8
1408000,-0.8,84.4
1413120,-0.1,107.2
1418240,-0.4,85.6
1423360,-1.0,91.6
1428480,-0.4,120.8
1433600,-1.0,80.4
1438720,-0.4,124.4
1443840,-0.8,88.0
1448960,-0.8,84.8
1454080,-0.5,80.0
1459200,-0.2,93.8
1464320,-0.5,89.0
1469440,-0.6,110.0
1474560,-0.45999999999999996,86.4
1479680,-0.5599999999999999,106.0
1484800,-0.6,70.0
1489920,-0.96,100.0
1495040,-0.32000000000000006,95.8
1500160,-1.44,92.6
1505280,-0.64,100.8
1510400,-0.6,81.2
1515520,-0.82,95.2
1520640,-0.08,87.8
1525760,-0.8400000000000001,83.8
1530880,-1.28,83.2
1536000,-0.72,90.0
1541120,-0.6799999999999999,55.4
1546240,-0.48,96.2
1551360,-0.8400000000000002,87.8
1556480,-0.4600000000000001,108.2
1561600,-0.7,76.8
1566720,-0.10000000000000005,87.6
1571840,-0.62,95.6
1576960,-0.82,95.6
1582080,-0.39999999999999997,90.8
1587200,-0.7999999999999999,99.2
1592320,-0.08,83.4
1597440,-0.8400000000000002,115.4
1602560,-0.33999999999999997,107.2
1607680,-0.9600000000000002,75.2
1612800,-0.47999999999999987,113.8
1617920,-0.8400000000000001,119.8
1623040,-1.0799999999999998,60.8
1628160,-1.06,111.2
1633280,-0.8400000000000001,108.0
1638400,-1.02,99.6
1643520,-0.7,92.0
1648640,-0.48,112.4
1653760,-0.3,88.6
1658880,-0.22000000000000006,82.4
1664000,-0.9400000000000001,87.8
1669120,-0.7,102.4
1674240,-0.3,95.2
1679360,-0.64,97.6
1684480,-0.7,119.6
1689600,-0.8800000000000001,84.8
1694720,-0.26,95.6
1699840,-0.68,114.4
1704960,-0.5,106.0
1710080,-0.44000000000000006,102.4
1715200,-0.34,112.4
1720320,0.19999999999999998,112.0
1725440,-1.3199999999999998,79.6
1730560,-0.78,95.6
1735680,-0.3,88.8
1740800,0.29999999999999993,89.8
1745920,-0.28,74.2
1751040,-0.5200000000000001,96.4
1756160,-0.44000000000000006,110.0
1761280,-1.0,54.0
1766400,-1.04,76.4
1771520,-0.7799999999999999,81.2
1776640,0.07999999999999999,99.4
1781760,-0.72,89.8
1786880,-0.74,90.0
1792000,-0.6,92.6
1797120,-0.9399999999999998,107.4
