time_steps,reward ep.,length
5120,-0.78,79.0
10240,-0.4,101.6
15360,0.0,81.0
20480,0.0,119.0
25600,-0.4,78.2
30720,-0.2,100.2
35840,-1.0,83.6
40960,-0.2,103.0
46080,-0.6,114.6
51200,-0.2,91.8
56320,0.0,90.2
61440,-0.4,77.2
66560,-0.4,127.6
71680,-0.2,112.4
76800,-1.0,74.0
81920,-0.6,102.8
87040,-0.6,115.6
92160,-0.2,104.2
97280,0.0,79.8
102400,-0.4,112.8
107520,-0.2,108.4
112640,-0.2,70.4
117760,-0.38,123.4
122880,-0.4,101.0
128000,-0.4,81.4
133120,-0.6,67.8
138240,0.6,101.2
143360,0.4,120.8
148480,0.0,82.8
153600,0.0,83.8
158720,-0.8,116.2
163840,-0.4,86.6
168960,-0.4,76.6
174080,0.2,100.6
179200,0.6,77.6
184320,-0.6,95.4
189440,-0.2,78.8
194560,0.4,102.6
199680,-0.6,98.2
204800,-0.6,98.4
209920,-0.4,66.4
215040,-0.6,93.6
220160,-0.42000000000000004,78.4
225280,-0.2,108.8
230400,-0.6,89.2
235520,-0.2,115.2
240640,-0.4,101.2
245760,0.0,110.2
250880,-0.2,77.8
256000,-1.0,77.2
261120,-0.4,84.2
266240,-0.8,102.6
271360,-0.6,83.4
276480,-0.8,79.0
281600,0.0,61.6
286720,-0.6,118.8
291840,-0.4,114.4
296960,-0.4,73.6
302080,0.4,103.8
307200,-0.4,94.2
312320,-0.4,89.0
317440,0.0,89.8
322560,-0.4,78.2
327680,-0.4,103.8
332800,-0.4,93.2
337920,-0.4,96.8
343040,-0.6,86.8
348160,-0.6,118.0
353280,-0.2,131.6
358400,0.0,91.8
363520,0.0,61.6
368640,0.2,68.8
373760,-0.8,125.4
378880,0.0,88.4
384000,0.8,107.4
389120,-0.2,85.0
394240,-0.6,91.6
399360,-0.2,104.0
404480,-0.6,106.0
409600,-0.2,100.0
414720,-0.4,93.2
419840,-0.6,75.6
424960,-0.4,99.2
430080,-0.5,107.6
435200,-0.4,106.0
440320,-0.6,110.0
445440,-0.8,92.8
450560,-0.8,94.0
455680,-0.8,94.0
460800,0.0,118.8
465920,-0.6,97.6
471040,0.0,67.0
476160,0.0,88.0
481280,-0.2,126.2
486400,-0.2,90.4
491520,-0.4,108.4
496640,-0.8,83.6
501760,0.6,80.6
506880,0.0,133.2
512000,-0.4,123.4
517120,-0.2,128.8
522240,-0.4,112.8
527360,0.0,120.0
532480,-0.2,83.6
537600,-0.8,100.8
542720,-0.6,84.8
547840,-0.6,96.0
552960,-0.8,111.6
558080,-0.4,103.6
563200,-0.2,66.8
568320,0.2,103.0
573440,-0.8,94.6
578560,-0.8,83.6
583680,0.6,86.6
588800,-1.0,69.4
593920,0.0,86.8
599040,-0.6,62.2
604160,-0.4,76.8
609280,-0.2,96.0
614400,-0.8,99.0
619520,-0.8,108.4
624640,0.0,121.6
629760,-0.4,98.4
634880,-0.8,83.2
640000,-0.4,70.4
645120,-0.8,104.0
650240,-0.4,76.4
655360,-0.2,75.2
660480,0.4,90.8
665600,0.0,106.8
670720,-0.8,102.0
675840,-0.8,95.6
680960,-0.4,82.0
686080,-0.2,91.6
691200,-0.6,63.2
696320,-1.0,62.8
701440,-1.0,95.6
706560,-0.4,124.8
711680,-0.4,104.4
716800,-0.6,83.2
721920,-0.8,105.6
727040,-0.4,72.6
732160,0.2,114.8
737280,-0.6,111.8
742400,-0.8,100.8
747520,-0.6,80.0
752640,-0.4,97.2
757760,-0.6,104.4
762880,-0.2,119.6
768000,0.4,86.6
773120,-0.6,85.0
778240,-0.2,104.0
783360,-0.2,109.6
788480,-0.6,56.4
793600,-0.4,94.0
798720,-0.64,108.0
803840,0.2,83.6
808960,-0.6,109.2
814080,-1.0,99.6
819200,0.0,106.8
824320,-0.4,120.4
829440,-0.6,80.8
834560,0.0,59.6
839680,0.2,99.2
844800,-0.2,99.2
849920,-0.6,71.2
855040,-0.5199999999999999,86.8
860160,0.2,82.2
865280,-0.2,71.8
870400,-0.2,55.6
875520,-0.6,71.2
880640,-0.5,100.4
885760,-0.6,74.4
890880,-0.4,78.4
896000,0.2,96.2
901120,-0.6,112.2
906240,-0.4,118.0
911360,-0.2,112.2
916480,-0.2,105.4
921600,-0.2,100.4
926720,-0.6,104.8
931840,-0.4,114.8
936960,0.0,84.2
942080,0.0,120.6
947200,-0.6,92.0
952320,-0.2,128.8
957440,-0.8,78.4
962560,-0.2,58.4
967680,0.0,121.2
972800,-0.4,104.4
977920,0.2,118.0
983040,0.1,90.8
988160,-0.6,93.2
993280,-0.2,109.2
998400,-0.2,88.8
