time_steps,reward ep.,length
5120,0.7280000000000001,9.8
10240,-0.06400000000000002,20.4
15360,-0.24800000000000008,21.2
20480,-0.264,20.6
25600,-0.04800000000000002,23.4
30720,-0.46399999999999997,20.4
35840,-0.048,13.0
40960,0.2759999999999999,15.6
46080,0.176,19.6
51200,0.10599999999999998,18.6
56320,0.272,10.4
61440,0.10200000000000001,11.0
66560,0.552,14.0
71680,0.866,24.8
76800,0.4860000000000002,28.4
81920,0.086,12.2
87040,0.5459999999999999,15.0
92160,0.772,15.2
97280,0.776,15.0
102400,0.6900000000000001,8.4
107520,0.366,17.2
112640,0.11600000000000003,13.4
117760,-0.29400000000000004,13.6
122880,0.13600000000000004,12.6
128000,-0.18400000000000002,16.4
133120,-0.7240000000000005,16.4
138240,1.5099999999999998,15.8
143360,0.12000000000000006,21.4
148480,0.12599999999999995,14.2
153600,0.624,13.4
158720,0.6260000000000003,27.0
163840,1.096,20.0
168960,1.072,18.0
174080,-0.184,10.4
179200,0.6559999999999999,18.0
184320,0.11599999999999996,12.0
189440,0.8560000000000001,17.4
194560,0.7160000000000001,14.8
199680,-1.2200000000000002,18.2
204800,0.796,14.6
209920,0.44600000000000006,17.0
215040,0.082,10.4
220160,1.0020000000000002,14.4
225280,0.8360000000000001,17.8
230400,1.0779999999999998,22.0
235520,1.378,26.4
240640,0.434,14.6
245760,0.704,9.6
250880,1.2240000000000002,14.0
256000,-0.7859999999999998,13.8
261120,-0.07400000000000002,13.6
266240,0.794,13.0
271360,1.028,17.0
276480,0.24600000000000008,18.2
281600,-0.254,13.8
286720,0.10600000000000001,13.0
291840,0.06799999999999992,10.8
296960,-0.05799999999999996,12.0
302080,0.27199999999999996,12.2
307200,0.442,8.6
312320,0.9120000000000001,19.0
317440,0.14800000000000005,12.4
322560,0.09400000000000004,10.2
327680,-0.194,15.0
332800,0.8580000000000002,15.8
337920,0.9940000000000001,14.2
343040,0.8880000000000001,19.4
348160,0.6639999999999999,16.6
353280,0.20199999999999996,15.2
358400,0.09199999999999997,17.8
363520,0.292,11.4
368640,0.728,13.4
373760,0.37400000000000005,12.2
378880,0.9639999999999997,12.2
384000,-0.16799999999999998,8.2
389120,1.2320000000000002,15.6
394240,0.43200000000000005,16.4
399360,0.93,10.6
404480,-0.20800000000000002,14.6
409600,-0.488,11.6
414720,0.638,15.2
419840,0.33800000000000013,19.8
424960,1.1300000000000001,17.2
430080,0.28800000000000014,18.8
435200,0.358,13.0
440320,0.5599999999999999,13.4
445440,0.31,19.6
450560,0.5040000000000001,16.4
455680,-0.31799999999999995,11.2
460800,0.8019999999999999,17.6
465920,-0.041999999999999996,19.2
471040,1.014,14.8
476160,0.532,13.6
481280,0.12600000000000006,15.8
486400,0.06199999999999996,11.8
491520,0.13800000000000004,13.0
496640,0.4980000000000001,9.2
501760,0.588,16.8
506880,0.952,23.4
512000,0.09799999999999995,12.2
517120,0.4980000000000001,18.0
522240,0.944,19.4
527360,1.3,15.2
532480,1.304,18.2
537600,0.6140000000000001,13.8
542720,1.1920000000000002,30.8
547840,0.08400000000000003,10.2
552960,1.1740000000000002,32.0
558080,0.6180000000000001,15.6
563200,0.5580000000000002,24.8
568320,0.3880000000000001,18.2
573440,0.528,11.2
578560,1.4180000000000004,33.6
583680,0.11400000000000003,9.6
588800,1.154,10.8
593920,0.55,10.6
599040,0.6620000000000001,18.2
604160,0.9480000000000002,28.8
609280,0.18600000000000003,17.4
614400,-0.041999999999999885,13.6
619520,0.882,29.0
624640,0.11800000000000008,21.6
629760,0.5680000000000001,14.6
634880,0.9180000000000001,19.4
640000,0.08600000000000012,19.8
645120,1.108,20.8
650240,0.42799999999999994,15.2
655360,0.14,10.4
660480,1.068,9.6
665600,0.748,16.0
670720,0.38800000000000007,13.2
675840,1.122,20.0
680960,0.516,23.2
686080,1.138,19.8
691200,0.31600000000000006,12.8
696320,0.10600000000000001,14.2
701440,1.0020000000000002,23.6
706560,-0.34400000000000003,12.8
711680,-0.11399999999999996,12.4
716800,0.9060000000000002,21.2
721920,1.19,7.8
727040,0.25400000000000006,9.0
732160,0.2620000000000001,19.0
737280,-0.17200000000000001,15.0
