time_steps,reward ep.,length
5120,1.0400000000000003,17.8
10240,0.039999999999999925,7.6
15360,1.6000000000000003,15.6
20480,1.4000000000000004,17.4
25600,0.8200000000000001,12.2
30720,-8.881784197001253e-17,10.6
35840,-0.020000000000000073,9.0
40960,-0.08000000000000007,8.0
46080,0.20000000000000018,11.4
51200,0.18,9.0
56320,-0.059999999999999984,10.4
61440,0.5400000000000001,11.4
66560,-0.2800000000000001,10.4
71680,1.2400000000000002,10.4
76800,-0.9,9.4
81920,0.64,12.4
87040,0.4200000000000001,12.2
92160,1.34,11.8
97280,0.7400000000000002,17.0
102400,0.54,9.4
107520,0.26,10.0
112640,0.72,9.4
117760,0.4999999999999999,12.0
122880,1.0200000000000002,17.2
128000,0.5400000000000003,11.2
133120,0.9200000000000003,14.2
138240,0.9200000000000002,12.0
143360,-0.10000000000000005,9.4
148480,0.6400000000000001,13.6
153600,0.5600000000000002,11.2
158720,0.9800000000000002,18.2
163840,1.1,11.8
168960,0.9800000000000002,14.6
174080,0.4,8.8
179200,-0.040000000000000105,10.6
184320,0.7400000000000003,10.2
189440,0.22000000000000003,12.8
194560,0.78,18.6
199680,0.54,13.4
204800,0.34,10.8
209920,0.6599999999999999,11.0
215040,0.48,11.4
220160,0.7,12.6
225280,0.42000000000000004,13.0
230400,0.43999999999999995,11.0
235520,0.41999999999999993,12.4
240640,0.039999999999999945,8.2
245760,1.9600000000000004,19.4
250880,0.9800000000000002,16.6
256000,1.2600000000000002,14.2
261120,1.1600000000000001,14.4
266240,-0.22000000000000006,7.8
271360,0.44000000000000006,8.8
276480,0.12000000000000002,11.2
281600,0.3200000000000001,10.4
286720,-0.4600000000000001,9.0
291840,0.28,13.2
296960,0.8000000000000004,11.0
302080,1.0,9.4
307200,1.0000000000000002,13.0
312320,0.03999999999999998,9.4
317440,0.23999999999999994,13.8
322560,0.8800000000000002,10.4
327680,0.48,13.8
332800,0.38000000000000017,10.8
337920,0.09999999999999991,8.2
343040,0.36,8.8
348160,-0.05999999999999996,11.6
353280,0.21999999999999997,12.2
358400,1.1600000000000001,13.0
363520,-0.04000000000000009,9.6
368640,1.3199999999999998,10.6
373760,-0.1,10.8
378880,1.6600000000000001,18.2
384000,0.039999999999999994,6.4
389120,0.7800000000000001,12.8
394240,0.76,6.8
399360,0.34,10.4
404480,0.32,6.4
409600,1.2000000000000002,14.0
414720,0.6000000000000002,14.6
419840,1.7400000000000007,18.0
424960,-0.040000000000000036,6.4
430080,1.8400000000000003,20.0
435200,0.019999999999999997,13.6
440320,-0.26000000000000006,8.8
445440,-0.4600000000000001,9.4
450560,0.26000000000000006,12.4
455680,0.8000000000000002,12.0
460800,0.6000000000000002,13.6
465920,0.6199999999999999,10.8
471040,-0.08000000000000007,10.8
476160,1.0000000000000004,16.6
481280,0.8800000000000002,16.2
486400,-0.24000000000000005,8.6
491520,0.6200000000000001,10.8
496640,0.7200000000000002,13.0
